prob,pnl,target,symbol,signal_date,month,seed,config
0.5508002042770386,94.3104,1,KSHINTL,2026-03-10,2026-03,13,incumbent config: all data
0.3028622269630432,13.9995,0,GOKULAGRO,2026-03-17,2026-03,13,incumbent config: all data
0.012597564607858658,9.9597,0,DEEPINDS,2026-03-20,2026-03,13,incumbent config: all data
0.02279772236943245,-4.0191,0,ASKAUTOLTD,2026-03-25,2026-03,13,incumbent config: all data
0.05384216085076332,-2.0582,0,SENCO,2026-04-06,2026-04,13,incumbent config: all data
0.0048378328792750835,-0.0983,0,KOVAI,2026-04-08,2026-04,13,incumbent config: all data
0.3460405766963959,45.2848,1,DSSL,2026-04-08,2026-04,13,incumbent config: all data
0.008692081086337566,7.3289,0,SERVOTECH,2026-04-08,2026-04,13,incumbent config: all data
0.18997310101985931,51.5172,1,VIDYAWIRES,2026-04-09,2026-04,13,incumbent config: all data
0.6363716125488281,9.0311,0,PRUDENT,2026-04-10,2026-04,13,incumbent config: all data
0.027567559853196144,1.7933,0,SRM,2026-04-10,2026-04,13,incumbent config: all data
0.02702280692756176,2.3873,0,PRIVISCL,2026-04-17,2026-04,13,incumbent config: all data
0.02833498828113079,-9.2321,0,ASKAUTOLTD,2026-05-04,2026-05,13,incumbent config: all data
0.030302666127681732,-11.3528,0,NGLFINE,2026-05-05,2026-05,13,incumbent config: all data
0.012663787230849266,-17.4436,0,NGLFINE,2026-05-06,2026-05,13,incumbent config: all data
0.04550367221236229,-5.1669,0,SEAMECLTD,2026-05-19,2026-05,13,incumbent config: all data
0.5590342879295349,-10.6236,0,CRIZAC,2026-05-25,2026-05,13,incumbent config: all data
0.11269376426935196,-12.1643,0,NGLFINE,2022-04-04,2022-04,99,incumbent config: all data
0.8412553668022156,-12.1509,0,PARAS,2022-04-07,2022-04,99,incumbent config: all data
0.6668182015419006,29.1153,1,SANGHVIMOV,2022-06-02,2022-06,99,incumbent config: all data
0.5257855653762817,-18.3553,0,ASIANENE,2022-06-08,2022-06,99,incumbent config: all data
0.1357550323009491,27.6806,1,EMUDHRA,2022-07-11,2022-07,99,incumbent config: all data
0.22747035324573517,-12.4994,0,DEEPINDS,2022-07-21,2022-07,99,incumbent config: all data
0.9075769782066345,-9.9644,0,SANGHVIMOV,2022-08-16,2022-08,99,incumbent config: all data
0.3774798512458801,96.4219,1,SERVOTECH,2022-08-24,2022-08,99,incumbent config: all data
0.3058888912200928,-11.5883,0,EMUDHRA,2022-11-01,2022-11,99,incumbent config: all data
0.5539822578430176,-13.9203,0,HARIOMPIPE,2022-11-10,2022-11,99,incumbent config: all data
0.19434955716133118,31.0845,1,SANGHVIMOV,2022-11-10,2022-11,99,incumbent config: all data
0.21380455791950226,-4.7125,0,HARIOMPIPE,2022-11-25,2022-11,99,incumbent config: all data
0.2526736557483673,-11.0252,0,EMUDHRA,2022-12-27,2022-12,99,incumbent config: all data
0.20944932103157043,-11.2699,0,SANGHVIMOV,2023-02-10,2023-02,99,incumbent config: all data
0.7292965650558472,-7.7039,0,AVL,2023-03-01,2023-03,99,incumbent config: all data
0.02619178406894207,46.0066,1,HARIOMPIPE,2023-03-03,2023-03,99,incumbent config: all data
0.6170458793640137,29.9536,1,DEEPINDS,2023-04-03,2023-04,99,incumbent config: all data
0.4851345419883728,-12.8991,0,AVL,2023-04-06,2023-04,99,incumbent config: all data
0.17851626873016357,-2.6613,0,PARAS,2023-04-11,2023-04,99,incumbent config: all data
0.15074171125888824,27.2727,1,WINDLAS,2023-05-08,2023-05,99,incumbent config: all data
0.2893580198287964,57.974,1,DEEPINDS,2023-05-24,2023-05,99,incumbent config: all data
0.5226966142654419,50.0233,1,SANGHVIMOV,2023-05-31,2023-05,99,incumbent config: all data
0.31669822335243225,8.7638,0,WINDLAS,2023-06-02,2023-06,99,incumbent config: all data
0.06006811186671257,45.3791,1,DEEPINDS,2023-07-07,2023-07,99,incumbent config: all data
0.8833060264587402,-14.7491,0,NGLFINE,2023-08-07,2023-08,99,incumbent config: all data
0.5075324177742004,-2.4098,0,WINDLAS,2023-08-09,2023-08,99,incumbent config: all data
0.7601971626281738,4.6722,0,HARIOMPIPE,2023-08-24,2023-08,99,incumbent config: all data
0.5776744484901428,-11.2918,0,DEEPINDS,2023-10-03,2023-10,99,incumbent config: all data
0.47053682804107666,-0.9254,0,SANGHVIMOV,2023-10-31,2023-10,99,incumbent config: all data
0.22542722523212433,-8.3643,0,HARIOMPIPE,2023-11-07,2023-11,99,incumbent config: all data
0.28873562812805176,-4.7316,0,NGLFINE,2023-11-13,2023-11,99,incumbent config: all data
0.1661897897720337,-8.6093,0,PARAS,2023-12-14,2023-12,99,incumbent config: all data
0.30118033289909363,-13.9528,0,SANGHVIMOV,2023-12-21,2023-12,99,incumbent config: all data
0.19867949187755585,-10.3648,0,PARAS,2024-01-04,2024-01,99,incumbent config: all data
0.20276588201522827,5.6558,0,SERVOTECH,2024-01-08,2024-01,99,incumbent config: all data
0.07335343956947327,51.254,1,EMUDHRA,2024-01-12,2024-01,99,incumbent config: all data
0.37608596682548523,-14.3407,0,AVL,2024-01-25,2024-01,99,incumbent config: all data
0.7433103322982788,-7.0863,0,WINDLAS,2024-02-08,2024-02,99,incumbent config: all data
0.68290114402771,-7.3288,0,DEEPINDS,2024-03-22,2024-03,99,incumbent config: all data
0.06636054813861847,-4.0873,0,NGLFINE,2024-04-05,2024-04,99,incumbent config: all data
0.5795958638191223,-24.1822,0,SANGHVIMOV,2024-05-15,2024-05,99,incumbent config: all data
0.571608304977417,-7.6376,0,EMUDHRA,2024-06-11,2024-06,99,incumbent config: all data
0.8857418894767761,67.6136,1,SERVOTECH,2024-06-13,2024-06,99,incumbent config: all data
0.7993422746658325,4.7722,0,RPTECH,2024-07-03,2024-07,99,incumbent config: all data
0.7438893914222717,40.2097,1,DEEPINDS,2024-07-08,2024-07,99,incumbent config: all data
0.7827516198158264,15.2713,0,HARIOMPIPE,2024-07-11,2024-07,99,incumbent config: all data
0.4623347818851471,-9.7118,0,NGLFINE,2024-07-12,2024-07,99,incumbent config: all data
0.7220454812049866,-5.9848,0,WINDLAS,2024-07-29,2024-07,99,incumbent config: all data
0.4802572429180145,-10.1874,0,JINDRILL,2024-07-30,2024-07,99,incumbent config: all data
0.7576807737350464,-12.5378,0,SANGHVIMOV,2024-07-31,2024-07,99,incumbent config: all data
0.6360032558441162,2.2779,0,EMUDHRA,2024-09-10,2024-09,99,incumbent config: all data
0.3944750726222992,-9.5771,0,JINDRILL,2024-10-18,2024-10,99,incumbent config: all data
0.2209855020046234,8.3356,0,JINDRILL,2024-10-30,2024-10,99,incumbent config: all data
0.6089379787445068,-8.7993,0,MPSLTD,2024-12-04,2024-12,99,incumbent config: all data
0.5368949174880981,-10.2699,0,ANANDRATHI,2024-12-05,2024-12,99,incumbent config: all data
0.6684646010398865,-11.8393,0,MPSLTD,2024-12-05,2024-12,99,incumbent config: all data
0.1743357628583908,3.1306,0,LUMAXTECH,2024-12-06,2024-12,99,incumbent config: all data
0.4236810505390167,-9.8903,0,SIKA,2024-12-09,2024-12,99,incumbent config: all data
0.49197420477867126,-12.4213,0,ANANDRATHI,2024-12-09,2024-12,99,incumbent config: all data
0.8738164305686951,-13.4868,0,WEALTH,2024-12-11,2024-12,99,incumbent config: all data
0.49903425574302673,-8.7038,0,ASIANENE,2024-12-11,2024-12,99,incumbent config: all data
0.17820630967617035,19.3196,0,SIGMAADV,2024-12-16,2024-12,99,incumbent config: all data
0.8381731510162354,-11.6549,0,DOMS,2024-12-17,2024-12,99,incumbent config: all data
0.111489437520504,40.8092,1,INDOTHAI,2024-12-30,2024-12,99,incumbent config: all data
0.4696950912475586,-12.8747,0,MONARCH,2025-01-02,2025-01,99,incumbent config: all data
0.27101701498031616,-19.4236,0,ALLDIGI,2025-01-07,2025-01,99,incumbent config: all data
0.5002078413963318,-12.7505,0,VIJAYA,2025-01-07,2025-01,99,incumbent config: all data
