bbw_width_pct,days_in_squeeze,volume_multiple,close_high_ratio,rsi_absolute,rsi_delta,atr_pct,distance_from_50sma,nifty_trend,nifty_distance_from_50sma,relative_strength_125,prior_runup_90,symbol,signal_date,target,trade_pnl
10.6112,0,4.0639,0.7752,67.6328,10.2345,3.5762,0.0987,1,0.0303,0.8682,-11.3687,AAVAS,2022-07-20,0,-4.5826
8.0618,13,3.1875,0.895,63.7287,12.637,3.1857,0.0652,0,-0.0183,0.8431,-8.7083,AAVAS,2023-02-03,0,-9.0018
5.9856,26,3.3596,0.8701,63.9605,13.891,2.7943,0.0183,1,0.0196,0.7387,-27.6825,AAVAS,2023-06-26,0,12.329
6.4331,17,2.4579,0.9208,68.9123,10.9812,2.4419,0.0435,1,0.0233,1.0911,13.1027,AAVAS,2024-09-05,0,-6.5081
4.5559,63,1.7814,0.8754,65.1052,9.5779,1.8698,0.0364,0,-0.0278,1.022,-6.4257,AAVAS,2025-01-23,0,-3.6709
2.8889,95,12.677,0.338,66.7789,13.7882,1.9019,0.0373,0,-0.0289,1.0659,5.0097,AAVAS,2025-03-10,0,-1.5176
8.403,3,2.5075,0.8166,69.5493,11.4831,4.9968,0.1717,1,0.0496,1.2838,31.0407,AAVAS,2025-04-21,0,-15.1491
5.8794,8,2.6773,0.9034,60.0863,13.0459,2.3603,0.0001,1,0.0359,1.1335,11.2539,AAVAS,2025-06-06,0,-4.2001
6.3724,42,7.1562,0.5689,58.3905,11.2714,3.379,0.0447,1,0.0239,0.8911,-14.7019,AAVAS,2025-11-12,0,-9.909
4.1724,134,6.3312,0.5727,60.5666,14.6059,1.5183,-0.0034,1,0.0627,0.9721,-3.405,ABBOTINDIA,2017-02-06,0,-5.1728
6.7861,35,3.5367,0.5731,68.1141,9.7154,3.0463,0.075,0,-0.0023,1.2645,40.6999,ABBOTINDIA,2018-02-12,0,-9.6
7.0751,10,3.6303,0.4871,66.3609,8.2645,3.2956,0.1067,1,0.046,1.3086,34.8817,ABBOTINDIA,2018-08-31,0,-9.1943
3.1878,50,2.271,0.8322,63.6471,8.6907,1.5043,0.0355,1,0.0138,1.0827,2.0134,ABBOTINDIA,2019-01-08,0,1.7993
5.9153,27,5.7354,0.5982,65.8677,14.3213,2.5486,0.053,0,-0.0481,1.0974,24.5456,ABBOTINDIA,2019-08-08,1,31.3861
3.0961,42,1.745,0.6989,63.6097,11.6132,1.8924,0.0243,0,-0.012,1.4637,21.5305,ABBOTINDIA,2020-02-04,0,10.8965
11.5035,0,2.6737,0.1629,69.2691,9.0598,2.8548,0.0735,1,0.0629,1.3923,19.9857,ABBOTINDIA,2020-08-10,0,-4.3635
3.8928,76,3.9002,0.6977,67.0235,12.372,1.4812,0.0303,1,0.0934,0.7445,0.4895,ABBOTINDIA,2020-12-11,0,-4.3055
10.0985,0,3.964,0.7446,63.4905,10.8969,3.5733,0.1301,1,0.0416,1.2518,38.7561,ABBOTINDIA,2021-10-01,0,-9.5148
6.8275,16,4.6728,0.8557,58.79,19.0922,3.0676,0.0246,0,-0.041,0.994,-8.5506,ABBOTINDIA,2022-05-17,0,10.6059
4.58,17,2.537,0.8667,68.7231,12.5032,2.2094,0.078,0,-0.0292,1.0875,11.7737,ABBOTINDIA,2022-06-29,0,2.407
6.0711,19,3.4128,0.8905,62.8157,14.3824,2.4508,0.0168,0,-0.034,1.1708,9.6047,ABBOTINDIA,2022-09-29,0,13.4385
9.9139,48,3.6793,0.8106,65.8693,8.4279,2.3831,0.0747,1,0.0412,1.0518,5.8084,ABBOTINDIA,2022-11-14,0,5.6084
2.731,71,2.5936,0.8805,65.2987,12.721,1.6402,0.0623,1,0.0358,1.0122,18.0113,ABBOTINDIA,2023-07-27,0,-3.2498
4.8585,64,2.1612,0.6906,64.7877,14.0369,2.0398,0.0401,1,0.0087,1.037,6.7437,ABBOTINDIA,2024-06-05,0,11.2242
5.3946,91,1.958,0.8649,64.1182,13.5245,2.0486,0.0609,1,0.0588,1.0576,-0.0461,ABBOTINDIA,2024-07-15,0,1.182
4.3378,75,3.24,0.6301,60.6284,8.526,2.0926,0.0283,0,-0.0169,1.0949,4.1458,ABBOTINDIA,2024-12-27,0,-2.9891
4.8928,70,3.1006,0.8788,68.2579,11.8469,2.1058,0.0711,1,0.0358,1.0766,13.4784,ABBOTINDIA,2025-06-26,0,0.8469
5.0204,155,3.1814,0.9263,62.7156,14.7159,1.8329,0.0115,0,-0.0463,0.8613,-7.6042,ABBOTINDIA,2026-03-04,0,-5.8878
4.2033,19,4.9442,0.8528,66.7809,10.5561,2.2194,0.0677,1,0.0372,1.0409,20.3506,ABB,2017-03-30,0,14.0246
3.6322,67,2.0697,0.4946,59.4435,9.4543,2.4649,-0.0015,1,0.0205,1.0395,-1.6502,ABB,2017-09-12,0,-2.9483
5.2554,69,2.3748,0.844,64.0264,9.5307,2.6405,0.0203,1,0.018,1.0646,1.433,ABB,2017-09-14,0,-5.1958
5.3487,74,3.54,0.6445,68.5135,18.181,2.4687,0.0662,1,0.0304,0.9332,10.4649,ABB,2018-01-12,0,-0.8812
4.0922,9,3.3469,0.7595,55.407,18.0556,2.1255,-0.0431,1,0.0211,0.9596,-0.7186,ABB,2018-04-23,0,-6.2228
5.4075,59,4.4763,0.7758,66.946,8.5708,2.5393,0.0571,1,0.0475,0.7562,0.2402,ABB,2018-08-21,0,0.1411
2.9769,39,1.5513,0.5174,55.3972,8.599,2.2356,-0.0018,1,0.0212,1.0255,4.1643,ABB,2019-03-07,0,9.3134
3.971,43,3.677,0.7105,61.5148,12.1441,2.3577,0.0215,1,0.0439,1.0127,1.3915,ABB,2019-03-13,0,6.3758
