bbw_width_pct,days_in_squeeze,volume_multiple,close_high_ratio,rsi_absolute,rsi_delta,atr_pct,distance_from_50sma,nifty_trend,nifty_distance_from_50sma,relative_strength_125,prior_runup_90,symbol,signal_date,target,trade_pnl,source_batch
6.5936,46,3.2232,0.6209,65.3383,8.3832,2.7974,0.0694,1,0.0499,0.8131,-7.7594,DISAQ,2025-05-21,0,-15.0507,Batch 2
4.897,85,3.121,0.6173,66.5152,9.7014,2.7045,0.0469,1,0.0085,0.8484,4.1281,DISAQ,2025-07-15,0,-7.3232,Batch 2
7.5697,2,3.5902,0.7377,59.611,10.0711,3.4748,0.0,0,-0.0021,1.0,0.0,DOMS,2024-12-17,0,-11.6549,Batch 2
5.8003,41,14.4957,0.7341,58.9271,19.1295,3.4493,0.0392,0,-0.0175,0.8525,-8.714,DOMS,2025-08-11,0,-3.3384,Batch 2
9.667,57,6.3202,0.601,69.7715,12.6784,2.5622,0.1096,0,-0.0096,1.0191,-4.3589,DOMS,2025-09-04,0,-10.0248,Batch 2
4.1678,46,2.5593,0.9111,59.3759,12.0615,2.3875,0.0271,1,0.0231,0.8899,6.7938,DOMS,2025-11-14,0,-5.0392,Batch 2
4.4007,59,14.2849,0.5933,59.394,13.731,2.3173,0.0291,1,0.0152,1.016,10.6101,DOMS,2025-12-03,0,-4.4569,Batch 2
15.4192,0,16.575,0.8748,59.2776,30.745,3.7076,0.0332,0,-0.0003,0.8869,-10.9521,DSSL,2025-10-01,0,-15.1934,Batch 2
7.0923,10,4.6904,0.6441,60.3507,10.4598,2.9004,0.0307,1,0.023,0.8361,-8.3775,DSSL,2025-11-13,0,-9.2216,Batch 2
9.1795,12,4.1471,0.6047,63.8219,8.325,3.2617,0.0633,1,0.0262,0.8106,-4.6125,DSSL,2025-11-17,0,-12.322,Batch 2
12.8844,12,3.6201,0.823,64.4948,10.3523,4.7633,0.0936,0,-0.0224,1.0305,9.5534,DSSL,2026-04-08,1,45.2848,Batch 2
5.7571,7,2.6843,0.8013,58.2333,10.2418,3.5288,0.0151,1,0.0352,1.3648,-2.4499,DYCL,2025-10-23,0,-11.1839,Batch 2
10.0028,7,7.4941,0.5933,68.5101,10.2768,3.8537,0.0837,1,0.0304,1.5248,1.627,DYCL,2025-10-24,0,-16.1931,Batch 2
4.3261,10,1.9139,0.9043,55.9615,10.8484,2.6118,-0.0116,1,0.036,1.0508,-1.036,INDIAMART,2025-10-27,0,-4.2053,Batch 2
